ens_gene	Symbol	Uniq_syms	entrez	Gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000185880.13	TRIM69	TRIM69	140691	tripartite motif containing 69	577.6708092186916	0.30666910166120076	0.16252847185348843	0.005664949203266266	0.03913099058169936
ENSG00000272384.1	NA	ENSG00000272384.1	NA	NA	4.6141434697591945	0.6640077262948724	0.7908404427413243	0.005665996763718891	0.03913099058169936
ENSG00000280798.1	LINC00294	LINC00294	283267	long intergenic non-protein coding RNA 294	236.63300418775017	-0.3312086275880884	0.18234219137819035	0.00566620006049271	0.03913099058169936
ENSG00000172738.12	TMEM217	TMEM217	221468	transmembrane protein 217	33.73607377226074	0.6280134130493451	0.5576070808481425	0.00566926432877046	0.03913650419125635
ENSG00000206573.9	THUMPD3-AS1	THUMPD3-AS1	440944	THUMPD3 antisense RNA 1	297.8200856629214	0.26359129178579516	0.1292766105119312	0.005677665090054224	0.039178837968604295
ENSG00000049656.14	CLPTM1L	CLPTM1L	81037	CLPTM1 like	1461.1400641880807	-0.21232646661035678	0.09399805980781276	0.00568265044958239	0.039197579299196095
ENSG00000172757.13	CFL1	CFL1	1072	cofilin 1	6991.581904230838	-0.2869905085890966	0.14723488204984103	0.005700540746847571	0.039304928529497456
ENSG00000107679.14	PLEKHA1	PLEKHA1	59338	pleckstrin homology domain containing A1	671.9020741421097	-0.24443961207363535	0.11546999482857542	0.005702764641901379	0.039304928529497456
ENSG00000143382.15	ADAMTSL4	ADAMTSL4	54507	ADAMTS like 4	2523.415988673707	-0.4907616557525053	0.3299123478775417	0.005716843036563421	0.03938624368868105
ENSG00000093000.19	NUP50	NUP50	10762	nucleoporin 50	1274.1242058696978	-0.2838782125265087	0.1449489538353055	0.005724286097522801	0.039421798036847616
ENSG00000124370.11	MCEE	MCEE	84693	methylmalonyl-CoA epimerase	158.76974315450371	0.32219246891323816	0.17546391723147137	0.0057309133455001856	0.03945170797269
ENSG00000009335.18	UBE3C	UBE3C	9690	ubiquitin protein ligase E3C	2085.663511288617	-0.176735386117819	0.07379508680227329	0.0057366486651088235	0.03947545647161737
ENSG00000148677.6	ANKRD1	ANKRD1	27063	ankyrin repeat domain 1	5.300051855362818	-0.5375449054301142	0.918347214925955	0.005741909539347652	0.03948769363470342
ENSG00000151276.23	MAGI1	MAGI1	9223	membrane associated guanylate kinase, WW and PDZ domain containing 1	628.2540623086111	-0.38661917011704383	0.22966391821207108	0.005742999444787807	0.03948769363470342
ENSG00000101079.21	NDRG3	NDRG3	57446	NDRG family member 3	844.3218244333706	0.350642372119367	0.19906331969671384	0.005750787295705769	0.03952550663407483
ENSG00000182154.8	MRPL41	MRPL41	64975	mitochondrial ribosomal protein L41	353.0868788200206	-0.3749879340529615	0.21979753028680252	0.0057629374890081925	0.039593260266567024
ENSG00000170629.14	NA	ENSG00000170629.14	NA	NA	42.50809810451653	0.47912982214741606	0.3182725840076492	0.005773545520034854	0.03965036907437058
ENSG00000215196.5	BASP1-AS1	BASP1-AS1	285696	BASP1 antisense RNA 1	49.42862894202061	0.49063944244015556	0.33107094677507176	0.00578457385283117	0.039710317800516676
ENSG00000126970.16	ZC4H2	ZC4H2	55906	zinc finger C4H2-type containing	184.48260511947686	0.2888040409221041	0.14919525018491983	0.0057969076566493855	0.03974584577874374
ENSG00000165775.18	FUNDC2	FUNDC2	65991	FUN14 domain containing 2	724.6659076736729	-0.2346995897877138	0.10904861862309805	0.005797746572369443	0.03974584577874374
ENSG00000186340.15	THBS2	THBS2	7058	thrombospondin 2	8835.603885786695	0.37531844118518076	0.22041746637709214	0.005798420984764738	0.03974584577874374
ENSG00000189067.12	LITAF	LITAF	9516	lipopolysaccharide induced TNF factor	5391.119474791148	0.26992336564228947	0.13462681365738682	0.005798953876935747	0.03974584577874374
ENSG00000144824.21	PHLDB2	PHLDB2	90102	pleckstrin homology like domain family B member 2	1768.9246452880272	0.27460091894855027	0.13829922516916932	0.005819571644000976	0.039858423014785045
ENSG00000157796.18	WDR19	WDR19	57728	WD repeat domain 19	1684.2943082095794	-0.29359636909754167	0.15310015694607246	0.005819994374900874	0.039858423014785045
ENSG00000088876.13	ZNF343	ZNF343	79175	zinc finger protein 343	280.9019109852556	-0.2509867496252783	0.12074352719412938	0.00584146462193419	0.03998960640112855
ENSG00000082126.18	MPP4	MPP4	58538	MAGUK p55 scaffold protein 4	17.491216829455762	-0.5819764665464868	0.46260479257335946	0.005844054429472696	0.03999148498647084
ENSG00000069329.18	VPS35	VPS35	55737	VPS35 retromer complex component	2934.2249891521224	0.16958823608682194	0.07036624942072882	0.005859332498284734	0.04007307548702739
ENSG00000197555.9	SIPA1L1	SIPA1L1	26037	signal induced proliferation associated 1 like 1	1469.6687445855755	0.33961285408348507	0.19073973053797197	0.005860617686442288	0.04007307548702739
ENSG00000183775.11	KCTD16	KCTD16	57528	potassium channel tetramerization domain containing 16	75.69895785673877	0.5145791080944422	0.36101162643528373	0.005866298451132355	0.040093952139878826
ENSG00000286389.1	LOC105373289	LOC105373289	105373289	LOC105373289	16.484689218391306	0.5870586010925182	0.473572202301115	0.00586831351375716	0.040093952139878826
ENSG00000148343.18	MIGA2	MIGA2	84895	mitoguardin 2	566.9505927702332	-0.2803085876935531	0.14299198004999558	0.005874852751911798	0.04012275869158584
ENSG00000148344.11	PTGES	PTGES	9536	prostaglandin E synthase	430.0413156470684	0.49123568810425383	0.3337074037107258	0.005887181103017235	0.040191064036092364
ENSG00000215241.4	LINC02449	LINC02449	101927905	long intergenic non-protein coding RNA 2449	28.530094894449483	0.5324597455661815	0.384980682910002	0.005890606746060543	0.040195445432232135
ENSG00000182957.16	SPATA13	SPATA13_ENSG00000182957.16	221178	spermatogenesis associated 13	460.2660652713935	0.35351725729282374	0.20265350996659287	0.005892477294720459	0.040195445432232135
ENSG00000101265.16	RASSF2	RASSF2	9770	Ras association domain family member 2	1632.853863350744	0.5544405569993532	0.41784896370963776	0.005912768501111188	0.04031793823576488
ENSG00000171502.15	COL24A1	COL24A1	255631	collagen type XXIV alpha 1 chain	76.25825557708201	0.5352767319367879	0.3896547091593319	0.005919142150705099	0.040345470886731835
ENSG00000227471.9	AKR1B15	AKR1B15	441282	aldo-keto reductase family 1 member B15	1.7691485397057105	0.49752112168492213	0.9095116900447464	0.0059220680788799876	NA
ENSG00000180525.12	DIP2C-AS1	DIP2C-AS1	414235	DIP2C antisense RNA 1	29.687736917390833	-0.6272757917010917	0.5783549833352224	0.005932553335388907	0.04040519434782825
ENSG00000013619.14	MAMLD1	MAMLD1	10046	mastermind like domain containing 1	1089.229635447344	-0.25968669623248725	0.1275528818260007	0.005932582958898358	0.04040519434782825
ENSG00000148541.13	FAM13C	FAM13C	220965	family with sequence similarity 13 member C	89.70634003673752	0.5926883576355274	0.488744466178334	0.005940002968070393	0.040439783706941984
ENSG00000053254.15	FOXN3	FOXN3	1112	forkhead box N3	3136.0606035016494	-0.27368871697156233	0.13830203903143698	0.005958321009089188	0.04054851082308449
ENSG00000100092.23	SH3BP1	SH3BP1	23616	SH3 domain binding protein 1	20.94991919886276	0.5378791815594256	0.39460121291436884	0.005964517869153819	0.040574695799930983
ENSG00000134258.17	VTCN1	VTCN1	79679	V-set domain containing T cell activation inhibitor 1	2.0988705929681446	0.47135705235944064	0.9021984504066017	0.005979669361530016	NA
ENSG00000279207.1	NA	ENSG00000279207.1	NA	NA	141.20596799678748	0.33119956898554437	0.18467788656167716	0.005985322667097225	0.04069645503283309
ENSG00000106397.12	PLOD3	PLOD3	8985	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	1746.6490675833284	-0.24457193339301617	0.11671560817470927	0.005987129008709407	0.04069645503283309
ENSG00000156928.5	MALSU1	MALSU1	115416	mitochondrial assembly of ribosomal large subunit 1	275.5152211754844	-0.2555978998471858	0.12478010146841803	0.005992674347126952	0.040702356749387554
ENSG00000097033.14	SH3GLB1	SH3GLB1	51100	SH3 domain containing GRB2 like, endophilin B1	3230.972814391682	-0.2980833045638639	0.15768568814440964	0.005992710352807582	0.040702356749387554
ENSG00000108641.17	B9D1	B9D1	27077	B9 domain containing 1	223.5318284863629	0.35828435902743666	0.20761383418080298	0.006000718598463066	0.040740727843024405
ENSG00000100644.17	HIF1A	HIF1A	3091	hypoxia inducible factor 1 subunit alpha	6184.28467647346	-0.3743380780785136	0.22150717987493293	0.00600539526832565	0.04075645857545015
ENSG00000100968.14	NFATC4	NFATC4	4776	nuclear factor of activated T cells 4	3712.808674400194	0.3383907949872949	0.1909137942202724	0.006017319904756482	0.04081082488641986
ENSG00000198862.14	LTN1	LTN1	26046	listerin E3 ubiquitin protein ligase 1	903.8698797406485	-0.38521951451707437	0.23118286660886003	0.006018131715244984	0.04081082488641986
ENSG00000157916.20	RER1	RER1	11079	retention in endoplasmic reticulum sorting receptor 1	1721.6236064697555	-0.1841473212768672	0.0784094622506251	0.006024976983015105	0.04084120975299721
ENSG00000145014.17	TMEM44	TMEM44	93109	transmembrane protein 44	273.3081193494553	0.3063677162300874	0.1645934098639566	0.00603024635314748	0.04086089251140184
ENSG00000126804.13	ZBTB1	ZBTB1	22890	zinc finger and BTB domain containing 1	711.904907391469	-0.2291110673360949	0.10615580143985882	0.006055301001757773	0.04101457211857265
ENSG00000101474.12	APMAP	APMAP	57136	adipocyte plasma membrane associated protein	2350.445556311945	-0.21685876502392218	0.09803882735742062	0.006059699232044521	0.0410209971000726
ENSG00000138400.13	MDH1B	MDH1B	130752	malate dehydrogenase 1B	22.84093300838994	0.5315824064395196	0.38832176799878204	0.006060999571525317	0.0410209971000726
ENSG00000204842.18	ATXN2	ATXN2	6311	ataxin 2	1329.3530911770506	-0.2741409268041559	0.1391824460381511	0.006064133491358257	0.04102613147776726
ENSG00000172531.15	PPP1CA	PPP1CA	5499	protein phosphatase 1 catalytic subunit alpha	1032.6140641826642	-0.2617276556407499	0.1296951359879528	0.006066570832477303	0.041026551064427555
ENSG00000268812.3	LIF-AS2	LIF-AS2	91370	LIF antisense RNA 2	2.578468827921636	0.5192349690202361	0.9073567658758397	0.006070762420182196	NA
ENSG00000239911.2	NA	ENSG00000239911.2	NA	NA	3.3130766327146124	-0.6017003113959508	0.8803253776567272	0.006083096452949392	NA
ENSG00000134321.12	RSAD2	RSAD2	91543	radical S-adenosyl methionine domain containing 2	5.499561785599042	0.5499141513888073	0.9046758119655083	0.006085672276295635	0.0411396209613222
ENSG00000128039.11	SRD5A3	SRD5A3	79644	steroid 5 alpha-reductase 3	135.9001244445571	-0.3038511803628733	0.16298573535146996	0.006100642453959468	0.0412246856278513
ENSG00000229043.3	ZFAND2A-DT	ZFAND2A-DT	101927021	ZFAND2A divergent transcript	75.48532717610172	0.3669894517818181	0.21626916711246474	0.0061334852500167574	0.04143040955740689
ENSG00000106780.9	MEGF9	MEGF9	1955	multiple EGF like domains 9	1344.8263388763628	-0.23581569302555538	0.11107648532951532	0.006135932729351308	0.04143073889810625
ENSG00000197948.11	FCHSD1	FCHSD1	89848	FCH and double SH3 domains 1	578.0633833707268	-0.2216527843639042	0.10146277894396427	0.006149943157807334	0.04150911223980003
ENSG00000204882.4	GPR20	GPR20	2843	G protein-coupled receptor 20	3.6491485918355795	0.623994741725186	0.8448430166605455	0.006173392927217957	NA
ENSG00000104671.8	DCTN6	DCTN6	10671	dynactin subunit 6	235.19033920188383	-0.2533404433712757	0.12391721437005046	0.0061810328563289595	0.04170265605254445
ENSG00000180628.15	PCGF5	PCGF5	84333	polycomb group ring finger 5	942.455753841751	-0.29290830710847526	0.154656063655228	0.006186921394384854	0.04171892380783079
ENSG00000231574.6	LINC02015	LINC02015	102724550	long intergenic non-protein coding RNA 2015	41.23014648663143	-0.5567067378224357	0.43090872988711104	0.006188274826057346	0.04171892380783079
ENSG00000120254.15	MTHFD1L	MTHFD1L	25902	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	1398.07973914377	0.38109979137938116	0.22929389428136046	0.006200182630775674	0.04178289285944497
ENSG00000264745.1	TTC39C-AS1	TTC39C-AS1	102724246	TTC39C antisense RNA 1	9.946732542750258	-0.6153205697515	0.5648018319953537	0.0062109782603616236	0.041839320012857235
ENSG00000133028.12	SCO1	SCO1	6341	synthesis of cytochrome C oxidase 1	664.0265232133648	-0.22445743319227407	0.10354457180669319	0.006213940015512523	0.04183999053139278
ENSG00000114423.22	CBLB	CBLB	868	Cbl proto-oncogene B	661.736537226284	-0.3361895634314008	0.19054292672684198	0.006215922632211318	0.04183999053139278
ENSG00000162441.12	LZIC	LZIC	84328	leucine zipper and CTNNBIP1 domain containing	588.1137446126615	0.24036857079548704	0.1146418953366489	0.00622737740097226	0.04190076449925706
ENSG00000176095.12	IP6K1	IP6K1	9807	inositol hexakisphosphate kinase 1	1383.8953040754775	-0.2005705954871694	0.08838108310953999	0.006238797222250414	0.04196125608360948
ENSG00000078114.18	NEBL	NEBL	10529	nebulette	7.476333595536915	-0.5765797455007653	0.8888203403045525	0.006242511280089995	0.041969892888172204
ENSG00000119392.14	GLE1	GLE1	2733	GLE1 RNA export mediator	569.364748528669	-0.23767517493506707	0.11280198734244898	0.006248272462215105	0.04199228092115926
ENSG00000149809.16	TM7SF2	TM7SF2	7108	transmembrane 7 superfamily member 2	101.79954298337076	-0.47162553612065217	0.31831339552863613	0.006251230048033399	0.041995816954349625
ENSG00000253496.3	NA	ENSG00000253496.3	NA	NA	26.898748085592995	0.5906823599586559	0.5011440522969459	0.00625498310925687	0.04200469217071721
ENSG00000197124.12	ZNF682	ZNF682	91120	zinc finger protein 682	41.12537000901922	0.44658757594910214	0.2920236945024046	0.0062650836462831185	0.04205616973906025
ENSG00000005100.13	DHX33	DHX33	56919	DEAH-box helicase 33	485.01764655555684	-0.26792576650599703	0.13554529500628826	0.0063065676430390655	0.04231819593262267
ENSG00000174780.17	SRP72	SRP72	6731	signal recognition particle 72	2104.6714638188514	0.17229813545634404	0.07266713820015593	0.006313045554128672	0.04234521274210114
ENSG00000133835.16	HSD17B4	HSD17B4	3295	hydroxysteroid 17-beta dehydrogenase 4	2486.3903326741424	-0.20388261082921025	0.09061824129619678	0.006322372455713701	0.042369019964933904
ENSG00000066855.16	MTFR1	MTFR1	9650	mitochondrial fission regulator 1	305.0996737879859	-0.28074026295198967	0.1456707493802481	0.006322665096323358	0.042369019964933904
ENSG00000173320.12	STOX2	STOX2	56977	storkhead box 2	79.94295836797754	0.5497935189377177	0.42391301889497723	0.00632395399893467	0.042369019964933904
ENSG00000105655.19	ISYNA1	ISYNA1	51477	inositol-3-phosphate synthase 1	113.93201144528217	0.40083481076200606	0.24873694647538205	0.006352094380594265	0.04254105240078486
ENSG00000153560.12	UBP1	UBP1	7342	upstream binding protein 1	1314.9199233529037	-0.1840418805227767	0.07909298296732746	0.006355713169263283	0.04254448997995271
ENSG00000177565.17	TBL1XR1	TBL1XR1	79718	TBL1X/Y related 1	2262.075625627153	0.22966510551586208	0.10757980082784775	0.006357534080492007	0.04254448997995271
ENSG00000109586.12	GALNT7	GALNT7	51809	polypeptide N-acetylgalactosaminyltransferase 7	373.3630739931979	-0.2579268726789726	0.12813141076509135	0.006361124630360797	0.04255203122215015
ENSG00000175048.17	ZDHHC14	ZDHHC14	79683	zinc finger DHHC-type palmitoyltransferase 14	212.70622447627386	0.3589423146776391	0.21137076175803604	0.006380473643536152	0.042664940290807744
ENSG00000040731.10	CDH10	CDH10	1008	cadherin 10	71.3659836312888	0.632484687910092	0.660514549953315	0.006391600521925093	0.0427228034886572
ENSG00000128694.12	OSGEPL1	OSGEPL1	64172	O-sialoglycoprotein endopeptidase like 1	94.30912876736713	0.3375764576499696	0.19312329105319714	0.006406806786741448	0.0428078788474268
ENSG00000142634.13	EFHD2	EFHD2	79180	EF-hand domain family member D2	554.3535039316828	-0.28907421349500917	0.15306797657276613	0.006459048560400954	0.043140250090968786
ENSG00000111452.13	ADGRD1	ADGRD1	283383	adhesion G protein-coupled receptor D1	7815.003749186724	-0.4321241039253848	0.280419763778429	0.006489136843568875	0.043324457503719216
ENSG00000080824.18	HSP90AA1	HSP90AA1	3320	heat shock protein 90 alpha family class A member 1	14956.862776983653	0.28668766009503194	0.15146261178633275	0.006519700185247178	0.04349827738809465
ENSG00000221978.12	CCNL2	CCNL2	81669	cyclin L2	4062.9096679436007	-0.22036944988029664	0.10178213637228871	0.00652063328185686	0.04349827738809465
ENSG00000172379.21	ARNT2	ARNT2	9915	aryl hydrocarbon receptor nuclear translocator 2	1467.1695792071757	-0.3615356750069862	0.21483624417086486	0.006522726866324985	0.04349827738809465
ENSG00000203485.13	INF2	INF2	64423	inverted formin 2	2553.694727209052	-0.24731008417507616	0.1208680737207998	0.006529984119498526	0.043516269279026173
ENSG00000138101.18	DTNB	DTNB	1838	dystrobrevin beta	89.05121642496786	0.3704361530433284	0.22281579256395645	0.006530892297302648	0.043516269279026173
ENSG00000159082.17	SYNJ1	SYNJ1	8867	synaptojanin 1	446.7528447681859	0.28463290569487015	0.14987391252382362	0.006532983223744492	0.043516269279026173
ENSG00000087470.18	DNM1L	DNM1L	10059	dynamin 1 like	1076.052131860355	-0.21021617968221823	0.09518803131327545	0.006539480904348461	0.04353146133824016
ENSG00000173083.15	HPSE	HPSE	10855	heparanase	49.59254803469722	-0.5901064047324517	0.5162035754885645	0.006540304664933604	0.04353146133824016
ENSG00000019144.19	PHLDB1	PHLDB1	23187	pleckstrin homology like domain family B member 1	2853.45778426228	-0.26404714870538476	0.1336807554623363	0.006554887463547432	0.0436117165910598
ENSG00000148399.13	DPH7	DPH7	92715	diphthamide biosynthesis 7	281.26536220259936	0.23009484724242196	0.10873475116043729	0.006609307078597286	0.04395685477918072
ENSG00000168883.20	USP39	USP39	10713	ubiquitin specific peptidase 39	956.1433217745376	-0.2276902267255771	0.1070905722484771	0.006619033036268402	0.0439899648834576
ENSG00000172399.5	MYOZ2	MYOZ2	51778	myozenin 2	18.65438416728576	-0.6299796657372401	0.7369499204664779	0.00662044532128644	0.0439899648834576
ENSG00000277972.2	CISD3	CISD3	284106	CDGSH iron sulfur domain 3	201.42495272954142	-0.2824245625058193	0.1485524632237091	0.006621926163558925	0.0439899648834576
ENSG00000132334.16	PTPRE	PTPRE	5791	protein tyrosine phosphatase receptor type E	78.86758325370742	-0.5816212756647166	0.4999839621827251	0.006628921410518978	0.04401950426854433
ENSG00000160172.10	NA	ENSG00000160172.10	NA	NA	25.370279728808985	0.47948288172937154	0.3339403068751366	0.006638859899604644	0.044068558103755345
ENSG00000058063.16	ATP11B	ATP11B	23200	ATPase phospholipid transporting 11B (putative)	1638.247543077758	-0.2658087868563299	0.1354910101779831	0.006652103786399504	0.044136089680462155
ENSG00000144357.17	UBR3	UBR3	130507	ubiquitin protein ligase E3 component n-recognin 3	1154.7007761703192	-0.216902702510109	0.09987704590559883	0.0066541441366329	0.044136089680462155
ENSG00000079102.16	RUNX1T1	RUNX1T1	862	RUNX1 partner transcriptional co-repressor 1	910.3254165543833	0.2698478860782928	0.13873416181021245	0.00666714829352235	0.04420416236855334
ENSG00000136813.14	ECPAS	ECPAS	23392	Ecm29 proteasome adaptor and scaffold	2835.4419642774446	-0.23827363994629183	0.11477721476787985	0.006671036336550982	0.04420416236855334
ENSG00000157445.15	CACNA2D3	CACNA2D3	55799	calcium voltage-gated channel auxiliary subunit alpha2delta 3	102.66455692134033	0.4901221580495822	0.3474655159027411	0.006672084952224326	0.04420416236855334
ENSG00000142102.16	PGGHG	PGGHG	80162	protein-glucosylgalactosylhydroxylysine glucosidase	591.5659572111769	-0.3109044031741499	0.17234796605113636	0.006679189315883176	0.044234262984637354
ENSG00000125945.15	ZNF436	ZNF436	80818	zinc finger protein 436	731.0024777369554	0.33291023752491034	0.19110884231087216	0.00668408103448397	0.04423847794158968
ENSG00000198919.13	DZIP3	DZIP3	9666	DAZ interacting zinc finger protein 3	718.9309557609881	0.20321355793078344	0.09116481024242298	0.006684948322576949	0.04423847794158968
ENSG00000151491.14	EPS8	EPS8	2059	epidermal growth factor receptor pathway substrate 8	1708.119735271227	-0.3439819164306089	0.20086506618338595	0.006705155571225263	0.044355207593336936
ENSG00000002919.14	SNX11	SNX11	29916	sorting nexin 11	248.6524673378488	-0.28098778058125357	0.14800884627540342	0.006743770982811788	0.04459357290012451
ENSG00000159915.12	ZNF233	ZNF233	353355	zinc finger protein 233	39.33638224640776	0.4865173838372096	0.3444528549482735	0.006748789011299738	0.04460967615888598
ENSG00000073536.18	NLE1	NLE1	54475	notchless homolog 1	289.57627953232213	0.3342492922960637	0.19276720666135402	0.006755470035110982	0.04463675533528572
ENSG00000267026.5	LOC102724684	LOC102724684	102724684	uncharacterized LOC102724684	3.1826571239228354	0.5430284459892878	0.8808710806441619	0.006757042911870606	NA
ENSG00000123983.14	ACSL3	ACSL3	2181	acyl-CoA synthetase long chain family member 3	2682.7699819886484	0.30701497375790404	0.16959257396092506	0.006763945551379171	0.04467566637224514
ENSG00000124249.7	KCNK15	KCNK15	60598	potassium two pore domain channel subfamily K member 15	147.16605814814548	0.5819121347523633	0.508636159485763	0.006772170502010153	0.044700622121810994
ENSG00000188786.10	MTF1	MTF1	4520	metal regulatory transcription factor 1	567.7050951113265	-0.2152185645914693	0.09911078772763895	0.006772899959053925	0.044700622121810994
ENSG00000263528.8	IKBKE	IKBKE	9641	inhibitor of nuclear factor kappa B kinase subunit epsilon	183.3725796765714	0.3079175008223151	0.17046528601685768	0.0067830473414143095	0.04475049414855155
ENSG00000243943.10	ZNF512	ZNF512	84450	zinc finger protein 512	282.23109166189704	0.26879741119173123	0.13845702150488234	0.006786997226476206	0.04475945631756282
ENSG00000221926.12	TRIM16	TRIM16	10626	tripartite motif containing 16	121.47621087821396	0.40083114221733007	0.25338406396430496	0.006794230128252667	0.04479005449434354
ENSG00000177125.5	ZBTB34	ZBTB34	403341	zinc finger and BTB domain containing 34	401.16847558791267	-0.23683575721465863	0.11419444549568736	0.006799309453192493	0.044806437571743886
ENSG00000095319.14	NUP188	NUP188	23511	nucleoporin 188	975.1700312696148	0.23079732879144702	0.10989484362317405	0.0068070925772074796	0.044840618990666506
ENSG00000174348.14	PODN	PODN	127435	podocan	8774.43690804914	0.2779254733390049	0.1458802900919554	0.006813484885891374	0.04486561606904911
ENSG00000136827.12	TOR1A	TOR1A	1861	torsin family 1 member A	964.2042172813404	-0.20411386547278668	0.09208566188763427	0.006822566970281289	0.044908299051333235
ENSG00000145990.11	GFOD1	GFOD1	54438	Gfo/Idh/MocA-like oxidoreductase domain containing 1	159.20212168394428	-0.44168144544723126	0.2946669585843253	0.006825996519687521	0.0449117682551143
ENSG00000269958.1	NA	ENSG00000269958.1	NA	NA	137.09263222429956	-0.3265094756907884	0.1865828128581615	0.0068282945482821995	0.0449117682551143
ENSG00000102098.19	SCML2	SCML2	10389	Scm polycomb group protein like 2	49.12467691613944	0.3894056185426896	0.24294722846776637	0.00683100297142096	0.044912479376620795
ENSG00000182473.22	EXOC7	EXOC7	23265	exocyst complex component 7	1754.9861070474658	0.27846224873807757	0.14655066120414645	0.0068618802494772296	0.045098324074950805
ENSG00000182272.12	B4GALNT4	B4GALNT4	338707	beta-1,4-N-acetyl-galactosaminyltransferase 4	48.14038965982443	0.4773981735055663	0.33613745664775146	0.0069053683059992965	0.04535539028275357
ENSG00000251301.7	NA	ENSG00000251301.7	NA	NA	6.316057795442084	-0.6206215734466214	0.7263065070440641	0.0069062457412946915	0.04535539028275357
ENSG00000102302.8	FGD1	FGD1	2245	FYVE, RhoGEF and PH domain containing 1	303.6139390081428	0.27590632319010133	0.1447508874880635	0.0069169386179193555	0.045408348083885636
ENSG00000186480.13	INSIG1	INSIG1	3638	insulin induced gene 1	281.3289085380024	0.5249211802436989	0.4016254277574568	0.006923990763697833	0.045437374038977574
ENSG00000111696.12	NT5DC3	NT5DC3	51559	5'-nucleotidase domain containing 3	282.21393830476836	-0.5021192995110246	0.36880119181199733	0.006949939272975333	0.04557384758931753
ENSG00000106477.19	CEP41	CEP41	95681	centrosomal protein 41	191.29552384277673	0.27392259666313457	0.1433158598939171	0.0069516833703039535	0.04557384758931753
ENSG00000257322.6	NA	ENSG00000257322.6	NA	NA	4.474125344081063	-0.5237761570389124	0.8788230325132323	0.006954617622895604	0.04557384758931753
ENSG00000134376.16	CRB1	CRB1	23418	crumbs cell polarity complex component 1	6.114383562127197	0.61903689595278	0.7050101366521595	0.006955341723334936	0.04557384758931753
ENSG00000182261.4	NLRP10	NLRP10	338322	NLR family pyrin domain containing 10	21.735889726447624	-0.6077462229537928	0.6123123422870518	0.006963416729177768	0.045588515590328796
ENSG00000160219.12	GAB3	GAB3	139716	GRB2 associated binding protein 3	62.238917644156565	-0.3793900579290422	0.23486200628125095	0.006964984192894841	0.045588515590328796
ENSG00000063127.16	SLC6A16	SLC6A16	28968	solute carrier family 6 member 16	28.129530037829195	0.4878054071893911	0.35017209185908543	0.006965498647688611	0.045588515590328796
ENSG00000278156.2	TSC22D1-AS1	TSC22D1-AS1	641467	TSC22D1 antisense RNA 1	46.81428376946344	-0.4101183029756974	0.26425594195618685	0.006968807719621427	0.04559289656564443
ENSG00000288002.1	NA	ENSG00000288002.1	NA	NA	15.418326750999498	0.5999265915297527	0.5815819045381895	0.006996718827194405	0.04575817023222331
ENSG00000166166.13	TRMT61A	TRMT61A	115708	tRNA methyltransferase 61A	344.14582779145036	-0.2516994421595047	0.1261570296265564	0.007031444353036666	0.04596786785225181
ENSG00000099953.10	MMP11	MMP11	4320	matrix metallopeptidase 11	271.30819055036346	0.36121657120832	0.21879367110942127	0.007036660717192776	0.04598456447497299
ENSG00000173040.13	EVC2	EVC2	132884	EvC ciliary complex subunit 2	460.2936919015395	-0.23236912087248437	0.11183238986862674	0.007050462794208555	0.046054153013732474
ENSG00000127314.18	RAP1B	RAP1B	5908	RAP1B, member of RAS oncogene family	1495.5614570216585	-0.24010084307296217	0.1174878733709177	0.007052642121429042	0.046054153013732474
ENSG00000131634.14	TMEM204	TMEM204	79652	transmembrane protein 204	386.69439106454996	-0.4457618743294285	0.3022658718831677	0.007061265420645871	0.046093037167571994
ENSG00000159658.12	EFCAB14	EFCAB14	9813	EF-hand calcium binding domain 14	3208.295925334941	-0.21150441043546742	0.09749076120097748	0.007066646788783908	0.0461107379432851
ENSG00000100842.13	EFS	EFS	10278	embryonal Fyn-associated substrate	218.45756102689631	0.4013493419519845	0.2569190085437014	0.0070864951455783184	0.04622278857795646
ENSG00000169871.13	TRIM56	TRIM56	81844	tripartite motif containing 56	2598.5809233751875	-0.2150602911703771	0.09995736794877108	0.007104317255518728	0.04632154308694582
ENSG00000135018.14	UBQLN1	UBQLN1	29979	ubiquilin 1	2149.0153332588693	-0.19136386048226553	0.08497918819576666	0.0071075091021344395	0.04632486687247775
ENSG00000012660.14	ELOVL5	ELOVL5	60481	ELOVL fatty acid elongase 5	2373.4938675906833	-0.294475502936128	0.16108261206263746	0.007120718517804482	0.04639345539023728
ENSG00000103479.16	RBL2	RBL2	5934	RB transcriptional corepressor like 2	1931.2618988329245	-0.2513903567061954	0.12630709063357934	0.0071299626943526215	0.04642864835207573
ENSG00000198542.14	ITGBL1	ITGBL1	9358	integrin subunit beta like 1	1954.872243839604	-0.5157633397761798	0.39279979789651165	0.007131496299100099	0.04642864835207573
ENSG00000143393.16	PI4KB	PI4KB	5298	phosphatidylinositol 4-kinase beta	1804.8946703227566	0.2040231381088262	0.09285081390939093	0.007142375239109983	0.04648195370380845
ENSG00000048052.21	HDAC9	HDAC9	9734	histone deacetylase 9	370.45967916387093	0.31867661465394564	0.18195987049515092	0.007159683590136972	0.046577045186005944
ENSG00000104067.16	TJP1	TJP1	7082	tight junction protein 1	3223.0970222343917	-0.2305744366748098	0.11095845012902769	0.007176673923870065	0.046669996992877924
